area_type,location,size,total_sqft,bath,balcony,price,no_of_bedrooms,price_per_sqft
Super built-up  Area,Old Madras Road,2 BHK,1171,2,2,73,2,6233.988044
Super built-up  Area,Old Madras Road,3 BHK,1630,3,2,110,3,6748.466258
Super built-up  Area,Old Madras Road,2 BHK,1165,2,1,52,2,4463.519313
Super built-up  Area,Old Madras Road,2 BHK,2640,2,1,170,2,6439.393939
Super built-up  Area,Old Madras Road,2 BHK,1165,2,1,51.42,2,4413.733906
Built-up  Area,Padmanabhanagar,2 BHK,1020,2,2,63,2,6176.470588
Built-up  Area,Padmanabhanagar,2 BHK,1176,2,0,62,2,5272.108844
Super built-up  Area,Padmanabhanagar,2 BHK,1258,2,2,115,2,9141.494436
Super built-up  Area,Padmanabhanagar,3 BHK,1708,2,1,90.5,3,5298.594848
Super built-up  Area,Padmanabhanagar,2 BHK,1100,2,2,65,2,5909.090909
Built-up  Area,Padmanabhanagar,4 Bedroom,3400,3,1,210,4,6176.470588
Super built-up  Area,Padmanabhanagar,3 BHK,1531,2,0,75,3,4898.758981
Super built-up  Area,Padmanabhanagar,3 BHK,1400,3,0,65,3,4642.857143
Super built-up  Area,Padmanabhanagar,3 BHK,1360,2,3,75,3,5514.705882
Built-up  Area,Padmanabhanagar,3 Bedroom,4500,4,2,360,3,8000
Super built-up  Area,Padmanabhanagar,2 BHK,1200,2,1,60,2,5000
Super built-up  Area,Padmanabhanagar,3 BHK,1710,2,2,90.63,3,5300
Super built-up  Area,Padmanabhanagar,2 BHK,1000,1,2,90,2,9000
Super built-up  Area,Padmanabhanagar,2 BHK,1067,2,2,52,2,4873.477038
Super built-up  Area,Padmanabhanagar,3 BHK,1250,2,2,70,3,5600
Super built-up  Area,Padmanabhanagar,3 BHK,1350,3,1,71.55,3,5300
Super built-up  Area,Padmanabhanagar,3 BHK,1360,3,1,75,3,5514.705882
Super built-up  Area,Padmanabhanagar,2 BHK,1100,2,1,60,2,5454.545455
Super built-up  Area,Padmanabhanagar,3 BHK,2051,3,1,180,3,8776.206728
Super built-up  Area,Padmanabhanagar,3 BHK,2051,3,2,170,3,8288.639688
Super built-up  Area,Pai Layout,2 BHK,1006,2,2,35,2,3479.125249
Super built-up  Area,Pai Layout,3 BHK,1550,2,2,90,3,5806.451613
Super built-up  Area,Pai Layout,2 BHK,1050,2,2,40,2,3809.52381
Super built-up  Area,Pai Layout,3 BHK,1400,2,3,67,3,4785.714286
Built-up  Area,Pai Layout,2 BHK,1100,2,2,50,2,4545.454545
Super built-up  Area,Pai Layout,2 BHK,1255,2,1,80,2,6374.501992
Super built-up  Area,Pai Layout,2 BHK,1075,2,2,35,2,3255.813953
Super built-up  Area,Pai Layout,2 BHK,1400,2,2,57.5,2,4107.142857
Super built-up  Area,Pai Layout,2 BHK,1175,2,2,60,2,5106.382979
Super built-up  Area,Pai Layout,2 BHK,810,2,2,34.5,2,4259.259259
Built-up  Area,Pai Layout,2 BHK,1000,2,2,34,2,3400
Super built-up  Area,Pai Layout,2 BHK,1000,2,3,42,2,4200
Built-up  Area,Pai Layout,6 Bedroom,3800,6,2,175,6,4605.263158
Built-up  Area,Pai Layout,2 BHK,1068,2,3,48,2,4494.382022
Super built-up  Area,Pai Layout,3 BHK,1510,2,2,65,3,4304.635762
Super built-up  Area,Pai Layout,3 BHK,1500,2,2,58,3,3866.666667
Super built-up  Area,Pai Layout,3 BHK,1600,2,1,65,3,4062.5
Super built-up  Area,Panathur,2 BHK,1359,2,1,87,2,6401.766004
Super built-up  Area,Panathur,2 BHK,1438,2,3,100,2,6954.102921
Super built-up  Area,Panathur,3 BHK,1688,3,1,118,3,6990.521327
Super built-up  Area,Panathur,3 BHK,1695,3,1,90,3,5309.734513
Super built-up  Area,Panathur,2 BHK,1198,2,1,77,2,6427.378965
Super built-up  Area,Panathur,2 BHK,1180,2,1,70,2,5932.20339
Super built-up  Area,Panathur,3 BHK,1546,3,2,99,3,6403.622251
Super built-up  Area,Panathur,3 BHK,1370,2,2,75,3,5474.452555
Super built-up  Area,Panathur,2 BHK,1000,2,1,65.3,2,6530
Super built-up  Area,Panathur,2 BHK,1109,2,1,63,2,5680.793508
Built-up  Area,Panathur,2 BHK,1000,2,1,68,2,6800
Super built-up  Area,Panathur,2 BHK,1255,2,2,79,2,6294.820717
Super built-up  Area,Panathur,2 BHK,1205,2,2,62.9,2,5219.917012
Super built-up  Area,Panathur,2 BHK,1198,2,1,82,2,6844.741235
Super built-up  Area,Panathur,2 BHK,1235,2,3,65,2,5263.157895
Super built-up  Area,Panathur,2 BHK,1210,2,1,80,2,6611.570248
Super built-up  Area,Panathur,2 BHK,1210,2,1,77,2,6363.636364
Built-up  Area,Panathur,1 BHK,661,1,1,40,1,6051.437216
Super built-up  Area,Panathur,2 BHK,1210,2,1,78,2,6446.280992
Super built-up  Area,Panathur,3 BHK,1861,3,3,92,3,4943.578721
Built-up  Area,Panathur,2 BHK,1050,2,2,60,2,5714.285714
Super built-up  Area,Panathur,2 BHK,1398,2,1,97,2,6938.483548
Built-up  Area,Panathur,2 BHK,1065,2,1,58,2,5446.00939
Super built-up  Area,Panathur,2 BHK,1007,2,1,64,2,6355.51142
Super built-up  Area,Panathur,2 BHK,1210,2,1,77.93,2,6440.495868
Super built-up  Area,Panathur,2 BHK,1230,2,1,80,2,6504.065041
Super built-up  Area,Panathur,2 BHK,980,2,1,57,2,5816.326531
Super built-up  Area,Panathur,2 BHK,1075,2,2,60,2,5581.395349
Super built-up  Area,Panathur,2 BHK,1210,2,2,69,2,5702.479339
Super built-up  Area,Panathur,2 BHK,1343,2,1,76,2,5658.97245
Super built-up  Area,Parappana Agrahara,2 BHK,1194,2,2,47,2,3936.348409
Super built-up  Area,Parappana Agrahara,2 BHK,1194,2,2,47,2,3936.348409
Super built-up  Area,Parappana Agrahara,2 BHK,1194,2,2,46,2,3852.596315
Super built-up  Area,Parappana Agrahara,2 BHK,1194,2,2,47,2,3936.348409
Super built-up  Area,Parappana Agrahara,2 BHK,1194,2,2,46,2,3852.596315
Super built-up  Area,Parappana Agrahara,2 BHK,1194,2,2,47,2,3936.348409
Super built-up  Area,Parappana Agrahara,2 BHK,1194,2,2,47,2,3936.348409
Super built-up  Area,Parappana Agrahara,2 BHK,1092,2,2,43,2,3937.728938
Super built-up  Area,Parappana Agrahara,2 BHK,1194,2,2,45,2,3768.844221
Plot  Area,Parappana Agrahara,1 Bedroom,1200,1,0,45,1,3750
Super built-up  Area,Parappana Agrahara,2 BHK,1194,2,2,46,2,3852.596315
Super built-up  Area,Parappana Agrahara,2 BHK,1194,2,2,47,2,3936.348409
Super built-up  Area,Parappana Agrahara,2 BHK,1194,2,2,47,2,3936.348409
Super built-up  Area,Parappana Agrahara,2 BHK,1194,2,2,46,2,3852.596315
Super built-up  Area,Parappana Agrahara,2 BHK,1194,2,2,46,2,3852.596315
Super built-up  Area,Pattandur Agrahara,3 BHK,1550,2,3,80,3,5161.290323
Super built-up  Area,Pattandur Agrahara,2 BHK,1025,2,1,44.5,2,4341.463415
Super built-up  Area,Pattandur Agrahara,2 BHK,1247,2,1,59.8,2,4795.509222
Super built-up  Area,Pattandur Agrahara,2 BHK,900,2,2,42,2,4666.666667
Super built-up  Area,Pattandur Agrahara,2 BHK,1302,2,1,66,2,5069.124424
Super built-up  Area,Pattandur Agrahara,3 BHK,1550,2,3,80,3,5161.290323
Super built-up  Area,Pattandur Agrahara,2 BHK,1247,2,2,62.35,2,5000
Super built-up  Area,Pattandur Agrahara,2 BHK,1350,2,3,68,2,5037.037037
Super built-up  Area,Poorna Pragna Layout,2 BHK,920,2,2,39.55,2,4298.913043
Super built-up  Area,Poorna Pragna Layout,3 BHK,1475,2,2,58.99,3,3999.322034
Super built-up  Area,Poorna Pragna Layout,3 BHK,1270,2,2,50.79,3,3999.212598
Super built-up  Area,Poorna Pragna Layout,2 BHK,1160,2,1,46.39,2,3999.137931
Super built-up  Area,Poorna Pragna Layout,3 BHK,1270,2,2,50.79,3,3999.212598
Super built-up  Area,Poorna Pragna Layout,3 BHK,1270,2,2,50.79,3,3999.212598
Built-up  Area,Poorna Pragna Layout,2 BHK,965,2,2,48,2,4974.093264
Super built-up  Area,Poorna Pragna Layout,3 BHK,1355,2,3,58.25,3,4298.892989
Super built-up  Area,Poorna Pragna Layout,3 BHK,1355,2,3,58.27,3,4300.369004
Super built-up  Area,Poorna Pragna Layout,3 BHK,1475,2,2,58.99,3,3999.322034
Super built-up  Area,Poorna Pragna Layout,3 BHK,1270,2,1,50.79,3,3999.212598
Super built-up  Area,Poorna Pragna Layout,2 BHK,1160,2,2,46.39,2,3999.137931
Super built-up  Area,Poorna Pragna Layout,3 BHK,1270,2,3,50.79,3,3999.212598
Super built-up  Area,Poorna Pragna Layout,2 BHK,1160,2,1,46.39,2,3999.137931
Super built-up  Area,Poorna Pragna Layout,3 BHK,1475,2,2,58.99,3,3999.322034
Super built-up  Area,Poorna Pragna Layout,3 BHK,1270,2,2,50.79,3,3999.212598
Built-up  Area,Poorna Pragna Layout,2 BHK,960,2,3,50,2,5208.333333
Super built-up  Area,Poorna Pragna Layout,3 BHK,1270,2,2,50.79,3,3999.212598
Plot  Area,Prithvi Layout,4 Bedroom,2028,4,3,162,4,7988.16568
Super built-up  Area,Prithvi Layout,2 BHK,1352,2,2,87.5,2,6471.893491
Built-up  Area,Prithvi Layout,2 BHK,1190,2,2,68,2,5714.285714
Super built-up  Area,Prithvi Layout,2 BHK,1352,2,2,85,2,6286.982249
Super built-up  Area,Prithvi Layout,2 BHK,1352,2,2,75,2,5547.337278
Plot  Area,Prithvi Layout,3 Bedroom,2273,4,3,220,3,9678.838539
Super built-up  Area,Prithvi Layout,2 BHK,1352,3,1,93,2,6878.698225
Built-up  Area,Prithvi Layout,3 Bedroom,2273,4,2,192,3,8446.986362
Super built-up  Area,Prithvi Layout,2 BHK,1352,2,2,72,2,5325.443787
Super built-up  Area,Prithvi Layout,3 BHK,2100,3,3,125,3,5952.380952
Built-up  Area,R.T. Nagar,4 Bedroom,1500,4,1,70,4,4666.666667
Plot  Area,R.T. Nagar,2 Bedroom,1200,2,1,120,2,10000
Super built-up  Area,R.T. Nagar,3 BHK,1560,3,2,85,3,5448.717949
Super built-up  Area,R.T. Nagar,2 BHK,1040,2,2,46,2,4423.076923
Super built-up  Area,R.T. Nagar,2 BHK,1200,2,3,45,2,3750
Super built-up  Area,R.T. Nagar,2 BHK,1235,2,2,65,2,5263.157895
Plot  Area,R.T. Nagar,3 Bedroom,1140,3,1,130,3,11403.50877
Super built-up  Area,R.T. Nagar,2 BHK,970,2,1,55,2,5670.103093
Built-up  Area,R.T. Nagar,3 BHK,1560,3,3,125,3,8012.820513
Built-up  Area,R.T. Nagar,2 BHK,1200,2,2,60,2,5000
Built-up  Area,R.T. Nagar,3 BHK,1680,3,2,72,3,4285.714286
Super built-up  Area,R.T. Nagar,3 BHK,1400,2,3,78,3,5571.428571
Plot  Area,R.T. Nagar,3 Bedroom,1200,3,2,140,3,11666.66667
Built-up  Area,R.T. Nagar,2 Bedroom,1100,3,0,125,2,11363.63636
Super built-up  Area,R.T. Nagar,2 BHK,1150,2,2,72,2,6260.869565
Plot  Area,R.T. Nagar,4 Bedroom,1500,4,3,185,4,12333.33333
Built-up  Area,R.T. Nagar,9 Bedroom,3600,8,2,165,9,4583.333333
Super built-up  Area,R.T. Nagar,2 BHK,1080,2,1,48,2,4444.444444
Super built-up  Area,R.T. Nagar,2 BHK,1325,2,2,52,2,3924.528302
Built-up  Area,R.T. Nagar,4 BHK,1800,3,0,120,4,6666.666667
Plot  Area,R.T. Nagar,3 Bedroom,1300,3,2,145,3,11153.84615
Super built-up  Area,R.T. Nagar,3 BHK,1500,2,1,70,3,4666.666667
Super built-up  Area,R.T. Nagar,2 BHK,1100,2,2,85,2,7727.272727
Super built-up  Area,R.T. Nagar,3 BHK,1667,3,2,130,3,7798.440312
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,52.07,2,4959.047619
Super built-up  Area,Rachenahalli,3 BHK,1530,2,2,74.5,3,4869.281046
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,55.5,2,5285.714286
Super built-up  Area,Rachenahalli,3 BHK,1530,2,2,74.4,3,4862.745098
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,53.5,2,5095.238095
Super built-up  Area,Rachenahalli,3 BHK,1530,2,2,74.39,3,4862.091503
Super built-up  Area,Rachenahalli,2 BHK,1220,2,2,59.5,2,4877.04918
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,52.5,2,5000
Super built-up  Area,Rachenahalli,3 BHK,1550,3,3,73.5,3,4741.935484
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,52.1,2,4961.904762
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,53.5,2,5095.238095
Super built-up  Area,Rachenahalli,2 BHK,1113,2,1,55,2,4941.599281
Super built-up  Area,Rachenahalli,4 BHK,3657,5,2,220,4,6015.859995
Super built-up  Area,Rachenahalli,3 BHK,1550,3,2,74.5,3,4806.451613
Super built-up  Area,Rachenahalli,3 BHK,1530,2,2,74.4,3,4862.745098
Super built-up  Area,Rachenahalli,3 BHK,1530,2,2,74.5,3,4869.281046
Super built-up  Area,Rachenahalli,1 BHK,680,1,0,32.64,1,4800
Super built-up  Area,Rachenahalli,1 RK,412.5,1,0,19.8,1,4800
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,52.5,2,5000
Super built-up  Area,Rachenahalli,3 BHK,1550,3,2,72.5,3,4677.419355
Super built-up  Area,Rachenahalli,3 BHK,1530,2,2,74.4,3,4862.745098
Super built-up  Area,Rachenahalli,1 BHK,690,1,1,39.8,1,5768.115942
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,47.25,2,4500
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,55.5,2,5285.714286
Super built-up  Area,Rachenahalli,2 BHK,985,2,1,49.97,2,5073.096447
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,52.5,2,5000
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,52.08,2,4960
Super built-up  Area,Rachenahalli,3 BHK,1550,3,3,72.5,3,4677.419355
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,52.07,2,4959.047619
Super built-up  Area,Rachenahalli,3 BHK,1530,2,2,74.4,3,4862.745098
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,52.08,2,4960
Super built-up  Area,Rachenahalli,2 BHK,985,2,1,49.97,2,5073.096447
Super built-up  Area,Rachenahalli,3 BHK,1856,3,3,106,3,5711.206897
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,52.5,2,5000
Super built-up  Area,Rachenahalli,2 BHK,985,2,1,50.17,2,5093.401015
Built-up  Area,Rachenahalli,3 BHK,2600,3,2,160,3,6153.846154
Super built-up  Area,Rachenahalli,3 BHK,1550,3,2,68.5,3,4419.354839
Super built-up  Area,Rachenahalli,3 BHK,1550,2,2,73.5,3,4741.935484
Super built-up  Area,Rachenahalli,2 BHK,985,2,1,50.17,2,5093.401015
Super built-up  Area,Rachenahalli,2 BHK,1050,2,2,52.71,2,5020
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1540,3,3,60,3,3896.103896
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1693,3,3,57.39,3,3389.84052
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1295,2,2,43.9,2,3389.96139
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1145,2,2,45.79,2,3999.126638
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1419,2,2,48.1,2,3389.711064
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1295,2,1,55.47,2,4283.397683
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1133,2,1,49.07,2,4330.9797
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1090,2,1,42,2,3853.211009
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1260,2,1,67.39,2,5348.412698
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1141,2,2,38.55,2,3378.61525
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1140,2,1,49.39,2,4332.45614
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1303,2,2,55.79,2,4281.657713
Super built-up  Area,Raja Rajeshwari Nagar,1 BHK,600,1,1,22,1,3666.666667
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1278,2,1,53.76,3,4206.57277
Super built-up  Area,Raja Rajeshwari Nagar,1 BHK,500,1,1,25,1,5000
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1143,2,2,38.65,2,3381.452318
Built-up  Area,Raja Rajeshwari Nagar,3 BHK,1610,3,2,74,3,4596.273292
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1105,2,1,65,2,5882.352941
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1693,3,3,57.39,3,3389.84052
Built-up  Area,Raja Rajeshwari Nagar,2 BHK,1258,2,1,63.53,2,5050.079491
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1128,2,2,38.24,2,3390.070922
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1157,2,1,53.8,2,4649.956785
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1185,2,2,47.39,2,3999.156118
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1530,3,2,57,3,3725.490196
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1530,3,3,61.2,3,4000
Built-up  Area,Raja Rajeshwari Nagar,2 BHK,1030,2,1,50,2,4854.368932
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1144,2,2,38.55,2,3369.755245
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1196,2,2,51.51,2,4306.856187
Built-up  Area,Raja Rajeshwari Nagar,3 BHK,1570,3,2,88,3,5605.095541
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1168,2,1,61,2,5222.60274
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1306,2,1,55.91,2,4281.01072
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1608,3,1,67.98,3,4227.61194
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1530,3,3,51.87,3,3390.196078
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1575,2,2,78,3,4952.380952
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1200,2,1,35,2,2916.666667
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1151,2,2,39.02,2,3390.095569
Built-up  Area,Raja Rajeshwari Nagar,3 BHK,1570,2,2,65,3,4140.127389
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1580,3,3,53.56,3,3389.873418
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1196,2,2,51.15,2,4276.755853
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1419,2,2,48,2,3382.663848
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1560,2,2,62.4,3,4000
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1295,2,2,70,2,5405.405405
Super built-up  Area,Raja Rajeshwari Nagar,1 BHK,648,1,1,31.75,1,4899.691358
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1100,2,1,55,2,5000
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1140,2,2,38.55,2,3381.578947
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1090,2,2,43.59,2,3999.082569
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1530,3,3,51.77,3,3383.660131
Built-up  Area,Raja Rajeshwari Nagar,2 BHK,1023,2,2,42,2,4105.571848
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1070,2,1,50,2,4672.897196
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1510,2,3,59,3,3907.284768
Plot  Area,Raja Rajeshwari Nagar,8 Bedroom,4800,8,2,225,8,4687.5
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1128,2,1,48.79,2,4325.35461
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1267,2,2,42.85,2,3382.004736
Super built-up  Area,Raja Rajeshwari Nagar,1 BHK,550,1,0,21,1,3818.181818
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1120,2,2,37.95,2,3388.392857
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1608,2,2,85,2,5286.069652
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1210,2,2,45,2,3719.008264
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1240,2,1,53.27,2,4295.967742
Built-up  Area,Raja Rajeshwari Nagar,3 BHK,1395,2,2,72,3,5161.290323
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1165,2,1,45,2,3862.660944
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1288,2,1,70,3,5434.782609
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1120,2,2,37.97,2,3390.178571
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1140,2,2,38.65,2,3390.350877
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1095,2,1,38.33,2,3500.456621
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1420,2,2,60,3,4225.352113
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1303,2,2,44.17,2,3389.869532
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1580,3,3,53.56,3,3389.873418
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1185,2,1,40.17,2,3389.873418
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1140,2,1,49.27,2,4321.929825
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1430,2,1,50,3,3496.503497
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1095,2,2,38.33,2,3500.456621
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1235,2,1,75,2,6072.874494
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1280,3,2,57.6,3,4500
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1303,2,1,55.79,2,4281.657713
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1162,2,0,65,2,5593.803787
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1133,2,2,38.41,2,3390.11474
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1151,2,1,49,2,4257.16768
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1267,2,1,54.35,2,4289.660616
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1550,3,3,52.45,3,3383.870968
Built-up  Area,Raja Rajeshwari Nagar,2 BHK,1100,2,1,50,2,4545.454545
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1185,2,2,40.17,2,3389.873418
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1751,3,3,72,3,4111.936037
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1306,2,2,44.17,2,3382.082695
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1196,2,2,40.44,2,3381.270903
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1178,2,1,75,2,6366.72326
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1128,2,2,40,2,3546.099291
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1151,2,2,39,2,3388.35795
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1375,2,1,54.99,3,3999.272727
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1525,2,2,99.13,3,6500.327869
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1060,2,1,48,2,4528.301887
Plot  Area,Raja Rajeshwari Nagar,6 Bedroom,3900,6,2,195,6,5000
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1128,2,1,48.79,2,4325.35461
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1400,2,2,48,3,3428.571429
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1170,2,3,50,2,4273.504274
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1625,2,2,54,3,3323.076923
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1185,2,1,51.15,2,4316.455696
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1255,2,1,53.87,2,4292.430279
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1419,2,1,60.42,2,4257.928118
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1693,3,1,71.38,3,4216.184288
Built-up  Area,Raja Rajeshwari Nagar,9 Bedroom,3600,9,3,240,9,6666.666667
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1196,2,2,40.54,2,3389.632107
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1196,2,2,40.54,2,3389.632107
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1630,3,2,60.65,3,3720.858896
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1531,3,3,51.77,3,3381.450033
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1160,2,1,70,2,6034.482759
Built-up  Area,Raja Rajeshwari Nagar,2 BHK,1133,2,1,38.37,2,3386.584289
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1140,2,1,48.7,2,4271.929825
Built-up  Area,Raja Rajeshwari Nagar,2 BHK,1140,2,2,38.65,2,3390.350877
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1140,2,2,38.55,2,3381.578947
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1295,2,2,55.47,2,4283.397683
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1133,2,2,40,2,3530.450132
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1510,2,2,55,3,3642.384106
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1550,3,1,86.8,3,5600
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1400,2,2,45,2,3214.285714
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1110,2,1,52,2,4684.684685
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1580,3,1,83.74,3,5300
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1608,3,3,54.51,3,3389.925373
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1640,3,1,86.8,3,5292.682927
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1500,3,3,51.04,3,3402.666667
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1185,2,1,51.15,2,4316.455696
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1295,2,2,43.9,2,3389.96139
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1279,2,1,53.76,3,4203.283815
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1196,2,2,40.54,2,3389.632107
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1240,2,2,40.54,2,3269.354839
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1090,2,1,57,2,5229.357798
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1240,2,2,42.04,2,3390.322581
Built-up  Area,Raja Rajeshwari Nagar,3 BHK,1757,3,3,98,3,5577.689243
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1530,3,2,64,3,4183.006536
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1587,3,1,73.8,3,4650.283554
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1529,3,3,51.77,3,3385.87312
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1295,2,1,55.47,2,4283.397683
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1450,2,1,67,3,4620.689655
